plWordNet ID,lemma,phrase,N,VAL M,ARO M,ANG M,DIS M,FEA M,SAD M,ANT M,HAP M,SUR M,TRU M,VAL SD,ARO SD,ANG SD,DIS SD,FEA SD,SAD SD,ANT SD,HAP SD,SUR SD,TRU SD,ANG D,DIS D,FEA D,SAD D,ANT D,HAP D,SUR D,TRU D,NEU D,classification
626923,pojęciowy,zakres pojęciowy,50,0.2,0.9,0.48,0.38,0.42,0.4,0.72,0.56,0.76,0.54,0.96890428330361,1.18235323980335,0.931095470674304,0.725342987130635,0.78480466827545,0.755928946018455,1.10730413571863,1.09096474811639,1.11684687346812,0.952119011597236,4.52429101623441,4.60346784926099,4.55927403583471,4.5875705518623,4.28024810821992,4.49571753296913,4.28415539478256,4.48952848478081,1.92076489122106,NEU
626926,żółciowy,żółciowa wątroba,50,-0.48,0.94,0.62,0.94,1.1,0.88,0.42,0.32,0.58,0.34,1.29740714739917,1.18511172296892,1.14089116617722,1.36142182579651,1.35902125646003,1.23948639791336,0.927801878921687,0.76771593385968,1.03193893190618,0.745325569185462,4.74764794540606,4.45371228913774,4.30727316408555,4.47567442817264,4.87420777388145,4.94613444242755,4.77052104337729,4.93404214573091,2.39757818846412,FEA
627009,szelki,szelki bezpieczeństw,54,1.11111111111111,1.48148148148148,0.185185185185185,0.148148148148148,0.648148148148148,0.166666666666667,1.25925925925926,1.03703703703704,0.481481481481481,1.75925925925926,1.16013445327925,1.3561980812181,0.675000323524006,0.626683616346004,1.21558134872738,0.665880039057407,1.44307304676821,1.37309680241091,0.926359088058164,1.61286321268643,5.3323305961151,5.37058868259336,5.03708468330246,5.36964163273649,4.52498996054068,4.73706159049566,5.13146379082586,4.01603698153768,3.06551652481854,TRU
627025,krzykliwy,krzykliwy człowiek,56,-1.51785714285714,2.05357142857143,2.44642857142857,1.58928571428571,1.28571428571429,0.928571428571429,0.553571428571429,0.357142857142857,0.928571428571429,0.339285714285714,1.3749852419515,1.15080434885807,1.36074368513081,1.33180377635044,1.31721863601489,1.10958047530084,0.97084111343333,0.749025340718831,1.20388979950436,0.76933940291858,4.08212455754102,4.93073466109245,5.10029961646725,5.42811551624475,5.67875497394874,5.81574618658962,5.42385592408068,5.83066748340255,4.24067729583068,ANG
627026,wrzaskliwy,wrzaskliwy nastrój,39,-1.30769230769231,1.76923076923077,2.07692307692308,1.33333333333333,1.15384615384615,1.33333333333333,0.384615384615385,0.256410256410256,0.974358974358974,0.282051282051282,1.39837962908666,1.2868062967456,1.38382793622799,1.42040271037798,1.26778840876256,1.30451308386114,0.989826795464864,0.715171996903679,1.24577558778245,0.723613663596155,4.2313999357138,5.00312374785487,5.06820195241769,4.99180274003744,5.65499386997548,5.72950140009059,5.20344546707211,5.72309945946327,3.96680396264573,ANG
627094,podchwyt,stosować podchwyt,45,0.111111111111111,0.844444444444444,0.4,0.333333333333333,0.488888888888889,0.311111111111111,0.6,0.333333333333333,0.733333333333333,0.4,1.19129841735474,1.06505560152672,0.939051746081217,0.879049072991532,0.991376963030856,0.874440658161813,1.05313385145997,0.768706114785807,1.17550762729052,0.809039834955891,4.51150864480856,4.60055102877056,4.42995369501696,4.56995033916533,4.37379504814438,4.60054407017785,4.1929267356638,4.51442705993788,2.06836551540297,SUR
627287,skarpetka,kocia skarpetka,54,0.5,0.944444444444444,0.425925925925926,0.407407407407407,0.351851851851852,0.222222222222222,0.5,0.796296296296296,0.648148148148148,0.611111111111111,1.19353604968044,1.2501572228168,0.860053790591839,0.835949770959199,0.827759134763963,0.537873754798121,0.884883533536775,1.1876666457788,1.01232792448624,1.03553225156204,4.50938437902352,4.47727869646369,4.57282768432389,4.66097889830333,4.45911927011985,4.14744292098894,4.33367591897948,4.37569574306299,1.85630133303412,NEU
627595,dosłyszalny,dosłyszalny głos,46,0.826086956521739,1.3695652173913,0.391304347826087,0.391304347826087,0.347826086956522,0.41304347826087,1.26086956521739,0.934782608695652,0.673913043478261,0.956521739130435,0.949955503661723,1.21762420132493,0.744707574810862,0.77397274914891,0.673874083336966,0.804876442043449,1.16303783465153,1.12352963493613,0.990047088130144,1.13444106137742,4.80238779580128,4.80992231154709,4.83631464045755,4.79085443153451,4.02800361455371,4.35917826839859,4.55630587958251,4.35710871368504,2.47936466266923,ANT
627603,skalowalny,skalowalny miernik,50,0.3,0.78,0.46,0.44,0.5,0.46,0.74,0.58,0.62,0.86,0.839095723176481,1.20017005597761,0.885483840989242,0.836903915192961,0.90913729009699,0.813408048313529,1.08439769796276,0.927801878921687,0.923392149210989,1.03035559544325,4.59724529300487,4.60924043195078,4.56220686779525,4.57396766040821,4.31919722879266,4.47815918241019,4.44213003963592,4.18870441371964,2.05109039254044,TRU
627611,konfigurowalny,konfigurowalny system,47,0.595744680851064,0.936170212765957,0.276595744680851,0.319148936170213,0.361702127659574,0.297872340425532,1.02127659574468,0.595744680851064,0.553191489361702,0.659574468085106,1.01423722608979,1.16850434538361,0.799514191068945,1.02376931374728,0.870420485964502,0.906855379319616,1.27670366488022,1.01423722608979,0.973753621153012,0.961805271457542,4.70779678160414,4.68980788749683,4.63163005603468,4.70133029822974,3.98362410350925,4.41578506395563,4.45648860231961,4.35994425646612,2.02308504619337,ANT
627617,wyrażalny,wyrażalne doświadczenie,51,0.509803921568627,0.96078431372549,0.137254901960784,0.137254901960784,0.254901960784314,0.137254901960784,1.03921568627451,0.784313725490196,0.568627450980392,0.529411764705882,1.00742342675973,1.23224647394465,0.448089626888963,0.529890850765976,0.716746461586019,0.4906977824746,1.16551764145766,1.11917336441136,1.02479074860743,0.966497618754865,4.68526164489148,4.68077476229038,4.59875373194865,4.67423230365236,3.82986622901386,4.12888641078528,4.35048980602872,4.36925703890658,1.99830409004915,ANT
627680,prototypowy,prototypowy model,51,0.901960784313726,1.31372549019608,0.313725490196078,0.274509803921569,0.470588235294118,0.313725490196078,1.76470588235294,1.19607843137255,1.41176470588235,0.823529411764706,0.900108925870293,1.17456708754215,0.812162448736246,0.723282278852428,0.8568066567545,0.734580045425449,1.46407971496251,1.1835473432548,1.2833778958395,1.12615953315578,5.28247067130346,5.30948659732794,5.18230425399686,5.27875498219743,4.0014621532941,4.60255151482069,4.37214143358953,4.9240811664738,3.2262689279805,ANT
627686,niszowy,niszowy reżyser,48,0.145833333333333,0.9375,0.395833333333333,0.4375,0.3125,0.5,1.0625,0.458333333333333,0.645833333333333,0.4375,1.18482574952505,1.06003311871184,1.00508459119668,0.943200752530694,0.689009464777656,0.945313186873322,1.19228459404267,0.849488790787588,0.978265580555347,0.769256341637127,4.61193925592045,4.52493538226127,4.6302368116095,4.49299664299625,3.93304253925964,4.54501445252319,4.40108024576143,4.58690800042054,2.25228899504928,ANT
627764,perełkowy,perełkowy ekran,54,0.759259259259259,0.962962962962963,0.333333333333333,0.37037037037037,0.351851851851852,0.388888888888889,0.962962962962963,0.962962962962963,1.18518518518519,0.666666666666667,0.930311069607044,1.04543866324255,0.752354793863279,0.830918934272132,0.756292032230523,0.833647739431422,1.18102870035203,1.02723227633567,1.41520148674253,0.911146903218841,4.87940288742394,4.85687487058286,4.86389819336531,4.84529262239395,4.33943496196945,4.33669170030225,4.0699231727193,4.61362574743676,2.46665345599324,SUR
627805,międzyzakładowy,klub międzyzakładowy,50,0.38,0.76,0.3,0.2,0.3,0.34,0.98,0.78,0.66,0.7,0.987472551930597,0.959591749928381,0.677630927178938,0.494871659305394,0.614451804788759,0.717421687399413,1.13371342165866,0.995705062470093,0.981668716720542,1.01519074311085,4.59858867802718,4.68622541964449,4.59723503831476,4.56498972822518,3.99836465507203,4.20026542153925,4.28567959303655,4.27919301904445,2.03395453600387,ANT
627815,piórkowy,piórkowa wiedźma,50,0.34,0.86,0.4,0.4,0.6,0.46,0.6,0.64,0.9,0.42,1.09935045757549,1.01035455486211,0.947607082958686,0.947607082958686,1.04978131833565,0.994064014692274,1.03015750727543,0.920514496776401,1.23304832154515,0.882713811758595,4.69203434432427,4.69203434432427,4.49426308556322,4.64189906112194,4.46180435992739,4.4266154827672,4.13006724035306,4.61999641103481,2.1871601836846,SUR
627885,mafijność,mafijność rodziny,53,-0.773584905660377,1.41509433962264,1.16981132075472,1.0188679245283,1.56603773584906,0.811320754716981,0.39622641509434,0.264150943396226,0.622641509433962,0.377358490566038,1.50181312770165,1.16740939796943,1.39691761026532,1.32273850601604,1.32301279083101,1.19384001913645,0.839863144563754,0.654891165245341,1.00434469822826,0.765265542006363,4.5792471156558,4.70077867854364,4.07779195216686,4.88578655486495,5.15474095759311,5.24323674660036,5.00518115183154,5.15929606290209,3.00094605968346,FEA
627904,skrobia,skrobia kukurydziana,53,0.39622641509434,1.0188679245283,0.377358490566038,0.39622641509434,0.415094339622642,0.39622641509434,0.792452830188679,0.69811320754717,0.622641509433962,0.641509433962264,0.987218755305675,1.29333448047072,0.685745385983514,0.688912818016392,0.770463453537269,0.716283749144726,1.00687044782025,0.952424147199324,0.882008527220676,0.856970056532843,4.5016539617026,4.47867651208813,4.47284861872251,4.48555415411463,4.11071460532323,4.2099928623972,4.27399777014844,4.25863426579022,1.86991516963688,NEU
628111,rozbieralny,rozbieralna konstrukcja,43,0.604651162790698,1.32558139534884,0.418604651162791,0.418604651162791,0.627906976744186,0.488372093023256,1.32558139534884,0.813953488372093,0.790697674418605,0.767441860465116,1.15757412359026,1.39251280634546,0.823250182986542,0.879192219611542,0.951771676650432,0.882962896897653,1.2671852991977,1.15996334000955,1.03643481257084,0.947106101119304,4.8693803771326,4.87083966427192,4.68381227716988,4.81688554411863,4.0256521611411,4.57458857281765,4.55690559843813,4.57697120682998,2.54064124619111,ANT
628192,dołowy,dołowy nastrój,50,-1.1,1.98,1.74,1.12,1.72,2.52,0.66,0.4,0.9,0.52,1.83225076262581,1.28555554575619,1.32187251230045,1.34982992125917,1.40029151483918,1.29740714739917,0.91718290967283,0.755928946018455,1.16496474502144,0.838852471765897,5.10070531997424,5.57620252021855,5.15120829495022,4.2311738890859,5.83226977717798,6.00604996192217,5.70267087451453,5.9452107969171,4.5465037745243,SAD
628212,wszczepialny,wszczepialne urządzenie,49,0.0816326530612245,0.979591836734694,0.36734693877551,0.469387755102041,0.979591836734694,0.387755102040816,0.857142857142857,0.448979591836735,0.836734693877551,0.551020408163265,1.27208383328756,1.03057014799186,0.858629662869379,0.937684222262629,1.08952963701405,0.885445427704145,1.17260393995586,0.843139581410751,1.26403683318417,1.06186205337989,4.84295045632313,4.73784689317985,4.23047412890488,4.797150875758,4.35698558514415,4.72327404385654,4.48187285658657,4.66913576374905,2.48760944420691,FEA
628341,jadowy,jadowy ząb,45,-0.955555555555556,1.71111111111111,1.06666666666667,1.44444444444444,1.86666666666667,1.17777777777778,0.533333333333333,0.333333333333333,0.866666666666667,0.422222222222222,1.58049985700088,1.29021179061674,1.37179378254101,1.48562132021276,1.58973983005797,1.23009402613431,0.868645758952091,0.639602149066831,0.943879807448539,0.811533029879782,5.10601519753385,4.80386743047197,4.31576028946628,4.97958042908581,5.40741509651187,5.55714337519457,5.13482146128512,5.50234251791718,3.70628409013198,FEA
62837,zawalidroga,samochodowa zawalidroga,50,-0.98,1.96,2.54,1.1,0.84,1.06,0.68,0.42,0.82,0.44,1.6224194580808,1.15987332172482,1.28110284122545,1.24948969175256,1.14926773492107,1.05772184916644,1.03883765501131,1.07076169722534,1.06311056886509,0.929340340988034,3.50434484557775,5.13770473764939,5.33247804711172,5.14697714137624,5.42012233706709,5.62826776617033,5.32174845210783,5.61396172795613,3.94802739936349,ANG
628470,odłamkowy,odłamkowy granat,52,-0.980769230769231,1.73076923076923,1.59615384615385,1.23076923076923,2.21153846153846,1.34615384615385,0.480769230769231,0.384615384615385,1.09615384615385,0.423076923076923,1.37897922769244,1.19007965815746,1.302480520115,1.18181290804549,1.31859310737067,1.2188811228145,0.779401092729806,0.889014571305761,1.1420589487999,0.800640769025436,4.88105768005689,5.1733740668622,4.22550667652817,5.09322586752802,5.65639300175694,5.7460722096393,5.19725468062191,5.70097317113791,4.11953167954562,FEA
628616,niebaczność,chłopięca niebaczność,52,0,1.09615384615385,0.673076923076923,0.538461538461538,0.673076923076923,0.788461538461538,0.576923076923077,0.461538461538462,0.653846153846154,0.442307692307692,1.13759291798904,1.0339267502521,0.964490190359731,0.959197754284818,0.922935509529854,0.956639101772828,1.03556660338447,0.895775235760349,0.926401754727066,0.894722249342823,4.38860567115556,4.5386585099848,4.39008227763827,4.26612291158796,4.520658317061,4.58443292530125,4.41234580156742,4.60247950971435,2.19059386281245,SAD
628624,niebezpieczność,niebezpieczność położenia,49,-1.02040816326531,1.83673469387755,1.06122448979592,0.653061224489796,2.06122448979592,1.10204081632653,0.428571428571429,0.183673469387755,0.918367346938776,0.183673469387755,1.52055083109115,1.31255061450835,1.21463580387473,1.10963620930772,1.42021364685778,1.27875098499773,0.735980072193987,0.56544486128752,1.23889626102359,0.56544486128752,4.78796318305708,5.1398182515124,3.72829271785555,4.80242165796504,5.22888468200499,5.44087550132685,4.90897507137208,5.4469769211123,3.39866559804438,FEA
628766,regale,polskie regale,50,0.56,0.86,0.34,0.46,0.54,0.48,0.78,0.62,0.52,0.64,0.951046684405328,1.16075274661554,0.798212288268514,0.994064014692275,0.994064014692274,1.01498969533323,1.16566526507573,0.878077677750246,0.8628382211738,1.02539191113865,4.6506043467187,4.57077890634898,4.48901631051924,4.56232534271803,4.24306001579944,4.40574832467547,4.49245815258186,4.38705143583883,1.86172173117061,NEU
628866,artykuł,artykuł papierniczy,42,0.857142857142857,1.11904761904762,0.357142857142857,0.166666666666667,0.19047619047619,0.261904761904762,1.14285714285714,1,0.69047619047619,0.761904761904762,1.07229929775792,1.2726461955864,0.726549767366235,0.489731965848651,0.551631515313957,0.627014754932929,1.24099544173665,0.937042571331636,1.092950699312,0.932071488138738,4.63732063326145,4.79345469007851,4.78937283124213,4.73164849629611,3.94363969228964,4.06319325823107,4.41819838700852,4.31782373847779,2.22177157546615,ANT
628874,heterogenny,heterogenna grupa,51,0.196078431372549,0.843137254901961,0.549019607843137,0.490196078431373,0.549019607843137,0.372549019607843,0.627450980392157,0.431372549019608,0.490196078431373,0.431372549019608,1.24931353699761,1.23891160329715,1.26986181122508,1.15537957433231,1.17155837225801,0.870879654458077,1.05755915794296,0.781150483857862,0.987371237571925,0.854515113050303,4.55558589389788,4.60579876438279,4.55367494973119,4.65648158592553,4.33549497191224,4.55120305024941,4.56009229566329,4.57021929998354,1.88985824510772,NEU
628895,tenis,żakiet tenis,48,0.291666666666667,0.875,0.520833333333333,0.479166666666667,0.541666666666667,0.479166666666667,0.75,0.625,0.583333333333333,0.645833333333333,1.32019233500973,1.26533150983734,1.05163668455986,0.898925678733523,1.05100424788771,0.9450787051168,1.08176372926691,1.00265604717479,1.00706722574172,1.12021242919583,4.59653207679874,4.60623782555812,4.574520712983,4.62675057917666,4.36387666554869,4.48409351470313,4.51698210014772,4.49828304166816,1.87436480467493,NEU
628901,spisa,spisa treści,53,-0.113207547169811,0.641509433962264,0.547169811320755,0.39622641509434,0.377358490566038,0.39622641509434,0.679245283018868,0.358490566037736,0.735849056603774,0.471698113207547,1.20352650666682,1.11103450792219,1.06637483913146,0.926939186485646,0.903548881108003,0.987218755305675,1.07011115356627,0.810848075086096,1.25806541648777,0.845889917935899,4.47855984374512,4.63034381875861,4.65424478395822,4.63930564399134,4.32596244282296,4.64210235201501,4.25784964919983,4.52317513666805,1.93234602074791,NEU
629054,wzruszalny,wzruszalne domniemanie,52,0.326923076923077,1.01923076923077,0.5,0.384615384615385,0.423076923076923,0.5,0.557692307692308,0.442307692307692,1.05769230769231,0.519230769230769,1.13277645798751,1.29084840037867,1.05718827974185,0.843750872855813,0.936119521574409,0.918225056781811,0.937528280116445,0.777463486021389,1.41993456820337,1.09348130183651,4.61888266510843,4.73128131714331,4.71151263871159,4.62578553881752,4.57396718071315,4.68036782814138,4.05516290379918,4.63242129044664,2.07882315495989,SUR
